MEDIENNR;VERFASSERIN;TITEL;MEDIENGRUPPE;SYSTEMATIK;ANZAHL_AUSLEIHEN;ANZAHL_TITEL
1169670;Scheffler, Axel;¬Der¬ rote Ballon;Buch;JD.R;282;23
1214138;Steinfest, Heinrich;¬Der¬ Allesforscher;Buch;DR;281;32
1176588;Boehme, Julia;Tafiti und die Reise ans Ende der Welt;Buch;JM.C;281;29
0971783;Gehm, Franziska;¬Eine¬ Freundin zum Anbeißen;Compact Disc;CD.JM.G;281;40
1214353;Scheffler, Ursel;¬Der¬ Hai in der Haifischbar und 6 andere spannende Fälle;Buch;JE.D;281;41
0703474;Chapman, Linda;Nacht der 1000 Sterne;Buch;JE.NP;281;23
1190192;Dicker, Joël;¬Die¬ Wahrheit über den Fall Harry Quebert;Buch;DR;281;27
0680513;Boie, Kirsten;Lena wünscht sich auch ein Handy;Buch;JE.C;281;37
1192934;Verne, Jules;¬Die¬ Reise zum Mittelpunkt der Erde;Buch;JM.C;280;26
1182615;Jones, Christina;Blütenzauber und Liebeswunder;Buch;DR.G;280;29
1166906;Geisler, Dagmar;Ich geh doch nicht verloren!;Buch;JD.T;280;30
1229950;Child, Lee;Wespennest;Buch;DR.E;280;30
1138404;Brett, Lily;Lola Bensky;Buch;DR;280;46
1171697;Spielberg, Steven;Lincoln;DVD;TT.KT.12;280;41
1121357;Boehme, Julia;Paula Piratenschreck;Buch;JM.C;279;29
1118263;Blyton, Enid;Fünf Freunde im Geisterwald;Buch;JE.D;279;29
1207682;Soderbergh, Steven;Side Effects - Tödliche Nebenwirkungen;DVD;TT.KT.06;279;36
1023539;Knister;¬Die¬ Reise nach Mandolan;Buch;JM.H;279;39
1068913;Hoßfeld, Dagmar;Conni, Mandy und das große Wiedersehen;Buch;JE;279;33
0986653;Stange, Hermann;Zeus, Herkules und Co.;Buch;JM.S;279;72
0597727;Funke, Cornelia;Tintenherz;Buch;JM.F;279;37
1140916;Jones, Gareth P.;¬Das¬ Auge der Shaolin;Buch;JM;279;31
1194165;Misra, Michelle;Allosaurus in Not;Buch;JM.C;278;32
0997576;Gehm, Franziska;¬Ein¬ zahnharter Auftrag;Compact Disc;CD.JM.G;278;40
1163417;Edwardson, Åke;¬Die¬ Rache des Chamäleons;Buch;DR.E;278;42
1136077;Mai, Manfred;¬Die¬ Sieben Schwaben;Buch;JM.CO;278;39
